Speaker Name,イン点,アウト点,文字起こし,色選択
石川,00:12:26:00,00:12:32:00,犬です最高だよ俺。犬です、無敵。,Violet
ライラ,00:12:30:00,00:12:31:00,いいですよね。,Rose
ライラ,00:12:32:00,00:12:37:00,"手ぬぐいもありますし、先生。",Rose
石川,00:12:37:00,00:12:42:00,"ありがとうございます。犬です、めちゃめちゃいい。",Violet
ライラ,00:12:44:00,00:12:46:00,みんな食いつくんですよね。,Rose
ライラ,00:12:52:00,00:12:59:00,クライアントさんが使うことによってまた我々の次年度のデザインに活かせるんで。,Rose
ライラ,00:14:42:00,00:14:53:00,2弾があればぜひ滋賀で。琵琶湖の前で。,Rose
石川,00:15:09:00,00:15:15:00,"出身が宇治なんで、あっちなんです。近いです。",Violet
ライラ,00:15:15:00,00:15:19:00,"私は県境に住んでいて、京都と滋賀の。",Rose
石川,00:15:24:00,00:15:27:00,いいですね。滋賀の里山行きたいわ。,Violet
石川,00:16:07:00,00:16:11:00,ここまで上がると渋谷川の谷が見えますね。,Violet
ライラ,00:16:12:00,00:16:13:00,ほんまですか?,Rose
石川,00:16:14:00,00:16:44:00,"こうなっている。あそこが一番低いところ。ちょっと行くとこの道が突き当たる、これが低くなっているのが渋谷川の谷ですね。そこから青山通りに向かって伸びて上がっていくんですよね。青山通りが一番高い尾根。",Violet
ライラ,00:16:19:00,00:16:20:00,"えー、どこですか?",Rose
ライラ,00:16:45:00,00:17:01:00,"私の母がよくあの、東京の地名は面白いって言って。お茶の水っていう、美しい水っていう、英訳するとすごい面白くなるねっていう話を。",Rose
ライラ,00:17:03:00,00:17:35:00,"神楽坂とか、なかなか海外にはない名前。お茶の水も美しい水がなんちゃらって言ってたし、ちょっと覚えてないけど。そうやって東京を見ていくと面白いよね。私の父も建築やってたので、日本に留学に来た時には都市計画の研究をしに来たから、東京中をフィールドワークしてた。いつも歩いているとここは終戦後の時によく歩いたって言うんだよね。",Rose
ライラ,00:17:43:00,00:18:14:00,"母も彫刻やってたんですけど、日本があまりにもわからなすぎたから写真に切り替えて、写真を撮って撮った写真を分析して何だったんだろうって解釈するっていう風に日本を理解しようとしてたっていうのを聞いて、それは面白いなぁって。何も読めないから、当時50年前ですから。とりあえず写真撮って後で分析して、自分は何を見たんだろうみたいな。",Rose
石川,00:18:15:00,00:18:18:00,"面白いですね、面白いフィールドワーク。",Violet
ライラ,00:18:20:00,00:18:29:00,上から人が見れるから好きなんだよね。だって絶対見られてないじゃん。,Rose
石川,00:18:25:00,00:18:29:00,"確かに見られてるんで、向こうもなんか見られてると思ってないしね。",Violet
ライラ,00:18:32:00,00:18:49:00,"なんかやっぱ東京に帰ってくるとみんな頑張らなきゃみたいな感じがすごいみんなから感じてくるというか、その人を見れないというか。",Rose
石川,00:18:56:00,00:19:05:00,"今これ標高だけでこう見てる、この谷を。",Violet
ライラ,00:19:06:00,00:19:09:00,これは今現在の標高の?,Rose
ライラ,00:19:10:00,00:19:11:00,22.34メートル。,Rose
石川,00:19:11:00,00:19:16:00,地面はね。それの上にさらにこの建物が載ってますからね。,Violet
ライラ,00:19:17:00,00:19:21:00,もうちょっとありますけどね。これなんていうアプリですか?,Rose
石川,00:19:20:00,00:19:26:00,"これはスーパー地形っていう、そのまま結構そのまま。",Violet
ライラ,00:19:27:00,00:19:30:00,この地図を見てもらってメンバーさんに描いてほしいな。,Rose
石川,00:19:34:00,00:19:59:00,"ここが渋谷ですね。真ん中。この原宿がちょうどここが明治神宮で、高いです。それでこの渋谷川がこういって宇田川と合流しているここが渋谷の八公前交差点のところですね。面白い、こうやって見ると。",Violet
ライラ,00:20:32:00,00:20:47:00,"かっこいい、これ好き。めっちゃ原宿っぽいじゃん。これもスタンプ。全部スタンプです。これもよく見たら影が交互に行ってるんですよ。そういう遊び心。",Rose
ライラ,00:20:51:00,00:20:55:00,ルールは無視するためにあるって私は思ってるんで。,Rose
ライラ,00:21:00:00,00:21:13:00,"これはオフレコですけど、私もお土産あんま好きじゃないんですよ。お土産プロジェクトって言われた時に、お土産じゃないものをどうやってお土産で作れるんだろうっていう。",Rose
石川,00:21:12:00,00:21:14:00,"なるほど、面白いですね。",Violet
ライラ,00:21:58:00,00:22:08:00,"多分ここで写真を撮るって、こうやって自分を背に撮るって意図はなかったでしょうね、皆さん作るときに。",Rose
ライラ,00:22:17:00,00:22:28:00,"ちょっと木の枝とかここに置いておきたいですね。子供がどうそれで遊ぶか私は見てみたいとか、積み木みたいな石の積み木みたいな。",Rose
石川,00:22:22:00,00:22:27:00,それはやりたいですね。それはやりたいね。,Violet
ライラ,00:22:32:00,00:22:51:00,"祝日と週末開けてるときは結構親子さんが来たりしますね。昨日もたまごっちのイベントが下であって、皆さんこう上がってきて、ママあそこ何?みたいな感じで渋谷フォントに入ってきてもらったり。",Rose
石川,00:23:06:00,00:23:19:00,"すごい、電源がちゃんとある。電源があるのすごい。ご自由にお使いくださいって書いてある。仕事できるじゃん。",Violet
石川,00:23:47:00,00:23:54:00,"オリーブ、オリーブ。これはオーストラリアの。",Violet
ライラ,00:23:57:00,00:24:02:00,"そもそもランドスケープって植物に興味あるから、そっちの道に行くんですか?",Rose
石川,00:24:03:00,00:24:26:00,"そういうやつもいますね。あとは公園作りたいとかいうやつもいますね。結構いろんな人が。生き物が好きなやつもいますね。私は庭が好きで庭を作りたいなと思って。",Violet
ライラ,00:24:28:00,00:24:29:00,理想の庭って何ですか?,Rose
石川,00:24:34:00,00:24:47:00,"昔は結構ああいう桂離宮とか作り込んだ芸術的な庭がいいと思ってたんですけど、だんだん普通の人の家の庭がいいなと思い始めてます。",Violet
ライラ,00:24:50:00,00:24:53:00,ぜひうちの庭に来ていただいて。,Rose
石川,00:24:53:00,00:25:02:00,イギリスにナショナルガーデンズスキームっていうご存知ですか?,Violet
ライラ,00:25:02:00,00:25:04:00,聞いたことはチラッと。,Rose
石川,00:25:04:00,00:25:26:00,"普通の人が庭をオープンガーデンして、それを見て回れるようになってて、1年に1回オープンするんですよ。それでナショナルガーデンズスキーム団体がそれをアレンジしてて。",Violet
石川,00:25:30:00,00:25:52:00,"イエローブックっていう本があって、それ買うとイギリス中で大体365日どっか空いてるので見て回れるんですよ。その審査があるんですよ。基準は40分以上楽しめるだけのクオリティがあることみたいな。",Violet
石川,00:25:58:00,00:26:33:00,"それでちゃんと審査を受けるから、うちの庭ナショナルガーデンズスキームに登録されてるっていうのはガーデナーにとってはちょっとしたステータスで。1年に1回だからそんな負担でもないし、その1日に向かって1年間かけて作り込むから、すごいみんないい庭になって。それでイギリスに行くと、でかい公園とかよりも個人の家の庭見てる方が面白くなっちゃって、そればっか見て帰って。",Violet
ライラ,00:26:33:00,00:26:38:00,"逆に公園ではやらしいことやってるからね、今イギリスではね。",Rose
石川,00:26:37:00,00:26:45:00,そうするとなんかそのイギリスの風景の印象が個人の庭でできてるってすごいなって。,Violet
ライラ,00:26:47:00,00:27:02:00,確かに。うちの近くでも年1回だけ門を開けてみんなに庭の桜を見せるっていう近所の人がいて。,Rose
石川,00:27:01:00,00:27:04:00,そうなんですか?個人の庭ですか?,Violet
ライラ,00:27:02:00,00:27:05:00,個人の庭ですね。,Rose
石川,00:27:04:00,00:27:05:00,素晴らしいですね。,Violet
ライラ,00:27:08:00,00:27:10:00,その人もすごい嬉しそうで。,Rose
ライラ,00:27:11:00,00:27:29:00,"やっぱり今ってあんま近所付き合いないから、そこでお茶出したりとか苗もらっていくみたいな感じでお話しして。その人が多分近所の人と関われる媒介としてその桜を使ってるというか。",Rose
石川,00:27:28:00,00:27:39:00,"なるほど、なるほど、いいですね。いや、そういうところにすごい興味ありますね、今。なんか庭ってやっぱりそういう人の繋がりを埋めるメディアだと思うし。",Violet
ライラ,00:27:41:00,00:27:54:00,そうなんですよね。私も今実家に住んでるので一人で庭をどういう風に作っていくかっていうのを考えているので。,Rose
石川,00:27:53:00,00:27:54:00,いいじゃないですか。,Violet
ライラ,00:27:55:00,00:27:57:00,ぜひ今度先生のアドバイスを。,Rose
石川,00:28:29:00,00:28:54:00,"やっぱりなんかこう、ほんの数年なのになんか本当に来るたびにガラッと変わってるし、駅も変わってるし、相変わらず工事中で。だからその終わりが見えないのが逆になんかちょっとほっとしますね。",Violet
ライラ,00:28:54:00,00:28:55:00,カオス感がね。,Rose
石川,00:28:54:00,00:29:03:00,"カオス感がね。このカオス感がなんかここいつも変わってるから、あれ前と違うなみたいな風に戸惑ってるの俺だけじゃないんだと思って。",Violet
ライラ,00:29:04:00,00:29:13:00,"上から見ると結構迷ってる人も見えたりするし、目印がない。",Rose
石川,00:29:21:00,00:29:28:00,でも大きい地形は残ってるし。それはちょっと安心しましたけどね。,Violet
ライラ,00:29:29:00,00:29:33:00,"先生が教えてくれた地形のアプリで、スーパー地形で見てみたいですね。",Rose
石川,00:29:35:00,00:29:36:00,スーパー地形ぜひ見てみてください。,Violet
ライラ,00:29:37:00,00:29:48:00,絶対面白いと思う。結構私Googleマップを見ながら電車移動とか見てるんですよ。,Rose
石川,00:29:45:00,00:29:48:00,それは素晴らしいですよ。,Violet
ライラ,00:29:48:00,00:29:54:00,どんな今土地を通ってるんだろうみたいな。意外とそれをこの都会でやってないなって。,Rose
石川,00:29:51:00,00:30:00:00,最近の学生は本当地図見ないですからね。みんなそのナビゲーションだけですね。,Violet
石川,00:30:03:00,00:30:25:00,"毎年授業で何も見ないで山手線の路線図を書いてくださいってやるんですけど、年を追うごとにめちゃめちゃになっていってますね。閉じてないやつとかあるし、渋谷と東京逆とかがザラにありますよ。",Violet
ライラ,00:30:24:00,00:30:27:00,"へぇー、そんなもんかいな。",Rose
ライラ,00:30:35:00,00:30:38:00,私とか一人で歩けなきゃいけないから。,Rose
石川,00:30:37:00,00:30:45:00,一人で歩けなきゃいけないから。地図持てないから。そうだね。,Violet
ライラ,00:30:45:00,00:30:50:00,ある程度覚えて2個目で左とか。,Rose
石川,00:30:46:00,00:30:54:00,"はいはい、そうですよね。それ今の若者はやらないですね。",Violet
石川,00:31:09:00,00:31:15:00,"はい、ありがとうございました。いやいや私もとってもいい出会いをいただいて本当に良かった。",Violet
ライラ,00:31:15:00,00:31:18:00,また先生と何かご一緒できたらいいね。,Rose
石川,00:31:18:00,00:31:19:00,"ぜひぜひ、ぜひぜひ。",Violet
ライラ,00:31:19:00,00:31:20:00,後で名刺を差し上げます。,Rose
石川,00:32:06:00,00:32:13:00,"はい、いつですか放送、3月4日。",Violet
ライラ,00:32:18:00,00:32:23:00,何文字ぐらいですか?,Rose
石川,00:32:42:00,00:32:45:00,200文字くらいのとかあるよ。,Violet
ライラ,00:32:43:00,00:32:52:00,"200文字ぐらい、ある?あります。じゃあ、お二人にそれをもらおう。プロフィール写真ですか?",Rose
石川,00:32:55:00,00:32:56:00,今日撮ったやつじゃなくて?,Violet
ライラ,00:32:57:00,00:33:00:00,今撮りましょうか?オリーブの前で。,Rose
石川,00:34:02:00,00:34:06:00,"ありがとうございました。いやーよかったな、いいね。",Violet
石川,00:34:16:00,00:34:22:00,今そのデジタルテクノロジーが進化してどんどんなんか余白作らなくていいように。,Violet
ライラ,00:34:19:00,00:34:24:00,"そう、AIは余白なくしちゃってるからね。",Rose
石川,00:34:23:00,00:34:30:00,"そうそうそう、余白をむしろなくしてその方向にその技術が進化してるからね。",Violet
ライラ,00:35:35:00,00:35:46:00,"Tシャツいくらだっけ、3740円です。",Rose
石川,00:35:40:00,00:35:43:00,"3740円、Tシャツ1枚買おう。",Violet
石川,00:35:54:00,00:35:57:00,買います。,Violet
ライラ,00:35:59:00,00:36:07:00,"じゃあ買ってくれたお礼に、ストライドクラブっていう。",Rose
石川,00:36:09:00,00:36:25:00,"素晴らしい。なんかめっちゃいい匂いしますね、すごい。いい香ばしい匂いが。",Violet
ライラ,00:36:28:00,00:36:40:00,"すごいラベルが。誰が作ったのラベル。やっぱすごい工夫あるなぁと思って。",Rose
石川,00:36:54:00,00:36:56:00,それで圧着できちゃうんだ。,Violet
