Speaker Name,Start Time,End Time,Text
東島,00:13:34:05,00:13:37:05,はい 魚なんですねああシャチだからはい
東島,00:13:56:20,00:14:09:03,あれは尻尾の一部だと思いますけど、それはこのシャチホコのどこに相配接口があるかというので、肛門があれば肛門より後ろが尻尾なので、そこまでちゃんと描写してくれてたらいいんですけど。
東島,00:14:24:12,00:14:34:00,そうですねヒレ自体ピラピラのところはアタッチメントなんですけど魚の焼き魚を食べてたら肛門から後ろにちょっとだけ身があるじゃないですかあれは尻尾です
東島,00:15:38:20,00:15:40:23,そうですね、ぼんじりまでが尻尾です
東島,00:15:42:02,00:15:46:12,全部山鳥もクジャクもシダリオをむしって舌のぼんじりがしっぽいです
東島,00:16:05:13,00:16:09:17,はい、社長歩行もだいぶマニアックでしたけどはい
東島,00:16:16:18,00:16:19:03,頭弱者は尻尾なんです
東島,00:16:20:10,00:16:22:00,そうですね。骨じゃないですか。そうなんです。
東島,00:16:23:05,00:16:30:05,あれ妖精なのでギリギリなとこではあるんですけど一応機能的なしっぽ
東島,00:16:40:15,00:16:47:05,そうなんです。あれだとボディープランが違いすぎて、無脊椎には適応できないんですよ。解剖学的なこの騒動性が。
東島,00:16:52:15,00:16:59:15,たまに言われるんですねトンボとかサソリの尻尾はどうなんですかって言われるんですけどちょっと違うんですよ先っちょに産卵管とかある
東島,00:17:56:03,00:17:57:17,そういうことです
東島,00:18:01:23,00:18:08:20,あれは何て言ったらいいんですかねあれは無脊椎動物の体の端っこですかね
東島,00:18:12:18,00:18:16:18,そういう言い方もする時もあるんですよねシュードテイルみたいな
東島,00:18:20:10,00:18:21:23,そうですね、不明用の話です
東島,00:18:25:15,00:18:30:00,だから全くそのおっていう定義を考え直さなきゃいけないんだと思います
東島,00:20:15:10,00:20:25:21,体幹の後方への延長部分という意味では一緒だと思いますただその体幹の中に脊椎動物の尻尾だとそもそも体空が存在しないので
東島,00:20:25:21,00:20:36:08,その点無脊椎は入れられるのでそこには大きな違いがあると思いますけどその体幹を後ろに伸ばす胴体を伸ばす仕組みという意味では一緒だと思います
東島,00:20:50:08,00:20:52:00,そうですね、拡大はできると思います。
東島,00:23:31:15,00:23:33:23,貝類だったんですね
東島,00:25:07:05,00:25:09:10,テイルオブテイル
東島,00:26:34:15,00:26:36:22,お、せー、はい
東島,00:27:49:08,00:27:51:10,機能的には尻尾ですね
東島,00:28:10:08,00:28:17:10,できると思います。結局人間側というか我々側がどう定義するかでどこで切るかというのが変わってくるんだと
東島,00:28:27:08,00:28:41:00,そうですね将来的にはと思うんですけどあまりにも生き物全部の尻尾全部の定義ってやると膨大すぎて一生が足りないのでとりあえずは脊椎でっていう風に切ってるとこはあるんですけどでも興味はあります機能的な尻尾とか
東島,00:28:44:10,00:28:46:05,やってみたいなとは思ってるんですけど
東島,00:28:56:05,00:29:06:18,猿に近いですかねオナガザルジョーカといういわゆる普通のモンキーとエイプの共通の先祖までは尻尾が生えていたので一番近いのはモンキーですかね
東島,00:29:12:20,00:29:16:02,やっぱりバランス維持とか運動でしょうかね
東島,00:29:21:13,00:29:27:20,地面の上にいるときはあまり何に使っているのかわからないんですけど長ければ社会的なシグナルとしてそれが機能します
東島,00:29:29:05,00:29:38:02,あとはすごく速く走るやつだとカーブを曲がる時とか方向転換時にギュッと振ったりして素早く身をかわしたりとかそういう感じで使う
東島,00:29:56:08,00:30:10:21,ではないんです、残念ながらあれ大体はですね、なんか柔らかい脂肪しか入ってなかったりとかあとはなんか繊維性のものが入ってるぐらいで動かすことはほぼできないはい、すっごく稀に動かせる人がいるんですけど
東島,00:30:10:21,00:30:25:10,これは肛門の筋肉の繊維が一部 迷入していてそれで動くっていうかお尻を締めれば動くっていうまあ変なやつですね肛門の形成不全の場合はそういうのがあるんですけど多くの場合はだいたい死亡臭とかです腫瘍です
東島,00:30:52:10,00:31:02:18,そうですそうです解剖学的な定義に当てはまらないっていうのとあとはその微部退宿っていうのが発生過程で人がしこなくすんですけどその異常っていうのがあっても
東島,00:31:02:18,00:31:13:00,良さそうなものなんですけど私、京都にいっぱい1杯のコレクションがあって4万点ぐらい全部であるんですけどざっと見て、そういう1杯の微分退宿以上っていうのが一例もないんです
東島,00:31:14:18,00:31:21:20,あまりにもないので、やっぱりこの結構発生の根幹的なところには関わっているんじゃないかなとは考えています。
東島,00:31:54:00,00:32:05:17,それは結構面白くて時代によって様々だと思います背景にあるのは宗教観が大きいんですけどそれが好ましいって捉えた時代と好ましくないって捉える時代地域っていうのがあります
東島,00:32:06:18,00:32:10:00,今の日本だとやっぱり手も耳っていうんですか耳をつけたり尻尾
東島,00:32:11:00,00:32:24:22,好ましいものとして捉えるんですけど例えば古代のギリシャローマだと神様にヤギの尻尾とかヤギの耳を生やすっていうのがあるんですお酒の神様でいいものなんですけどキリスト教が入ってくると一気にダメなもの
東島,00:32:27:13,00:32:30:05,悪魔には生えているもので天使にないので
東島,00:32:37:15,00:32:45:00,そうですそうです一方でヒンドゥー教だと逆にそのヒューマンテイルって1000点以上が出ても親が切らないでくれって言うんですよ
東島,00:32:46:00,00:32:52:02,それはハヌマーンという猿の形をした神様がいて神の化身であると考えて縁起がいいから着るな
東島,00:32:53:03,00:32:57:05,いうふうに言われる地域とか時代によって本当にバラバラなんです
東島,00:33:01:00,00:33:10:22,現在だと日常生活に差し触ったり患者さんのあいつ生えてるでなんかってなるのでやっぱ着るのが多いと思います
東島,00:33:12:15,00:33:28:12,多くの場合、死亡種の中に脊髄の形成不全とか脊椎の方の形成不全が関わっていることが多いので、手術しておいた方が差し障りがないというか、患者さんのその後の人生には良いと言われています。
東島,00:34:20:15,00:34:35:23,そうですそうです。元はというと、尻尾が生えた人っていうのは生物学的にはなかなかありえない記述であるにもかかわらず出てくるので何かなって調べて、一番古いのは何かなと思ったら日本書紀に書いてあったなって思い出して、日本書紀を読み直した。
東島,00:34:37:00,00:34:47:20,そしたらそもそも1000点以上の研究っていうのがあんまり近年にならないとやられてないってことに気づいて古代の日本でもあるんじゃないかなと思ってもう一回調べてみて
東島,00:34:50:18,00:34:53:10,尻尾が生えた人2人出てくるんですよ日本初期に
東島,00:34:58:12,00:35:01:13,そうですねあるいは医学そうですね
東島,00:35:06:20,00:35:09:05,よかったです
東島,00:35:55:10,00:35:57:20,だいぶ変わってますね
東島,00:36:11:03,00:36:13:03,クルネに必要ですトレーニングがいります
東島,00:36:14:22,00:36:28:12,そうですね、なんかあれは面白いのが古文書って基本ハンドコピーなんですよなので写し間違えてたりとか肝心の字だけ虫食いでやられてたりとかするのでいろんなこのハンドコピーを集めてきて読み合わせというか見合わせて
東島,00:36:28:12,00:36:42:02,この人写し間違えてるからこの人以降はみんな間違えてるとかそういうのを見ていくんです系統というか古文書の系統があって何々家が持ってる系統とかそこでまた文家が出てきてここでまた写し間違えてるとか
東島,00:36:45:10,00:36:48:22,そうです、そうです。だから、古文書も系統書が書けると…
東島,00:36:58:08,00:36:59:23,そうなんですよたまにミューテーション入る
東島,00:37:41:00,00:37:43:13,なんかすっきりしますね
東島,00:38:16:18,00:38:18:08,そうです測って
東島,00:40:07:00,00:40:09:08,本当ですね
東島,00:40:24:12,00:40:28:20,空になっちゃいますね
東島,00:40:44:10,00:40:48:15,まさか殻作りにまで活かせるとは思わなかったですすごいですね
東島,00:40:49:23,00:40:52:20,ウィントそんなところに効いてるんですね
東島,00:41:17:23,00:41:19:23,あ、読めたんですね。
東島,00:41:50:03,00:41:53:03,そんな
東島,00:43:27:08,00:43:30:05,めっちゃうまいんですよ
東島,00:43:50:15,00:43:53:07,そうですね、さっきまで鳩がいたのに鳩もいなくなったんです。
東島,00:43:58:10,00:44:00:15,噴水も止まるし
東島,00:44:01:15,00:44:05:20,なんもないんですよ 人間しかいてないんですよ
東島,00:44:12:03,00:44:17:13,いや本当に人間しかいないんですよねさっきいたのに全部どっか行きましたね
東島,00:44:30:15,00:44:34:00,鳥の話は冒頭で山鳥したからいいかなと思ってた
東島,00:44:35:20,00:44:39:13,いや全然わかんないです私陸上の哺乳類が好きです
東島,00:44:42:15,00:44:45:20,私最近一番好きなのはモルモットででもしっぽないんですよね
東島,00:45:00:00,00:45:02:00,面白いですよ面白いですよ
東島,00:45:05:23,00:45:08:00,ねえもうしゃべりましょう
東島,00:45:16:20,00:45:26:03,私最初は尻尾がある方が好きだったんですよ。でももろもっと見てないのもいいかもって思ったんです。だから人に尻尾がないから、人はあんまり好きじゃないからちょうどいいやって思ったんですよ、研究するの。
東島,00:45:27:03,00:45:36:20,と思ったんですけど人が知りたくてやってるから結局人に興味はあるんですけどあんまり思い入れが強い動物って実験すると良くないかなと思って
東島,00:45:37:23,00:45:40:10,愛で歪まないかなって思ったんですよ
東島,00:45:45:05,00:45:46:22,ほどほどがいいかなと思ったんです
東島,00:45:48:05,00:45:51:05,片つもりそんなに多い?片つもり好きじゃないです好きじゃないです
東島,00:45:52:12,00:45:54:15,殻がないからとかそうやっぱ
東島,00:45:57:20,00:46:00:03,だけど
東島,00:46:01:10,00:46:03:15,ありえないですね
東島,00:46:13:00,00:46:19:10,[HALLUCINATION_FILTERED]
東島,00:46:30:20,00:46:34:03,ああ外骨格ですねめちゃくちゃ
東島,00:46:45:13,00:46:48:12,そうなんですね 虫捕り少年やったんですかそうです
東島,00:46:53:10,00:46:55:07,ああ、漫画はいいですね。
東島,00:47:12:00,00:47:13:15,漫画家
東島,00:47:28:05,00:47:31:00,完全に手塚治虫をする
東島,00:47:36:18,00:47:38:12,ああああああ
東島,00:48:31:17,00:48:36:20,それはでもめっちゃ言いたいですねめっちゃ言いたい安牌でエラバン取ってくれ
東島,00:48:57:15,00:48:59:05,ああ確かに
東島,00:49:08:05,00:49:10:03,あれですよ虫が好きだ
東島,00:49:24:00,00:49:28:03,そこを多分喋らなあかんとこなんじゃないですか
東島,00:49:38:08,00:49:42:08,歌を片つむりの本の中の早見先生との出会いがめっちゃ面白かった
東島,00:49:47:20,00:49:49:17,そうですね
東島,00:51:21:23,00:51:24:03,そうですよ。戻ってきた。
東島,00:51:41:03,00:51:43:05,あったんですか?はい、口
東島,00:51:49:15,00:51:51:07,真面目にはい
東島,00:52:43:07,00:52:45:23,犬犬になってる
東島,00:52:52:05,00:52:54:12,いやいいですいいですしんがりねしんがりが
東島,00:53:22:00,00:53:29:07,そうなんです。本当そう思います。私は今いるのが教授の研究室が脳の研究室なんで負けずに。
東島,00:53:30:08,00:53:33:10,いやいやいいんです私ノアはみんなやりすぎやと思ってます
東島,00:53:37:05,00:53:46:05,はい、大事です。脳があるから尻尾のこと考えられるので脳は大事です。はい。そうですよね。はい。
東島,00:53:52:18,00:53:56:15,その後噴水がやっと出ましたやっと出ました
東島,00:54:00:20,00:54:05:23,でも噴水で特に語るべきことがないんですよね
東島,00:54:10:12,00:54:16:12,私噴水より日本の庭園の方が好きですでも面白いから見てるのは好きです
東島,00:54:35:13,00:54:39:07,どこを見たらいいのかがわからないんですよね
東島,00:54:40:15,00:54:49:17,花なのか、この花を見ればいいのか、作りを見ればいいのか、どこ見たらいいのか分からないプレゼンみたいな感じ。
東島,00:55:48:03,00:55:50:12,なるほどそういう風に見れば面白いんですね
東島,00:56:14:20,00:56:16:22,大事なコンセプトですね
東島,00:56:43:07,00:56:49:20,でもよく日本ではそういうのがありますよね見た目だけ真似していて結局コンセプトが真似できていないというのはよくありますよ
東島,00:56:53:13,00:57:11:00,パッと見た感じはよく模倣してるんですけど博物館の展示とか怒られるわとかそうなんですけどこれどこどこの博物館の展示を真似し張ったんやなっていうのが分かる時はあるんですけどその背景にあるこういう風に考えてこれを作ったんやろうっていうオリジナルのそこを真似できてないなっていう時が
東島,00:57:12:08,00:57:22:08,あったりしてそういうのはちょっと日本に多いなって思っちゃいますなんでですかなんででしょうね読み取れてないのか文化が違うからそこをちょっと理解するのが難しいのか
東島,00:57:24:22,00:57:40:10,なんか流行りの博物館だと流行りの展示みたいなのがあってこれを置いといたらお客さんが来るだろうみたいなのを多分思って置いてるんだろうなって思う時あるんですけどなんでそこの元の博物館はその並びでそこに置いたのかを多分分かってないな
東島,00:58:13:20,00:58:27:00,難しいですね。言語化、自分で言っといていきなり言語化が難しくなりましたけど。なんていうのかな。死んだものとかに対する捉え方が、わりと日本と西洋とで違うなって思う時が。
東島,00:58:28:03,00:58:46:03,やはり向こうの自然史博物館っていうのはいわゆるトロフィーみたいに取ってきて珍しいものこれを取りましたこれを持っている僕たちはすごいですみたいな感じで置いていることが多いんですけどでもそれを例えば進化の概念でやるときは生物多様性を表現するためにこうするとか
東島,00:58:46:03,00:59:04:03,秩序を表現するためにこのように並べるとかこれを先に並べるとかそういうのがあるんですけど何だろう日本の方もそういう博物学的な考え方というか物を集めるというコレクションという考え方はもちろんあるんですけど何だろうななんとなく綺麗に見せようと
東島,01:00:05:17,01:00:07:05,そうそうなんです
東島,01:00:39:13,01:00:46:10,エクスティビジョンとアレンジメントの違いがついてないところがたまにあったりするのでちょっとなって思うときは
東島,01:01:42:00,01:01:43:20,そうですね
東島,01:02:05:17,01:02:08:08,綺麗にまとめてくれありがとうございます
東島,01:02:10:12,01:02:17:10,千葉さんが集めて貼る貝って色もとりどりだと思うんですけど色とかはどうやって記述し貼るんですか
東島,01:03:11:10,01:03:15:23,CMYKみたいなやつですか
東島,01:03:29:10,01:03:32:12,なるほどそうやったんですね
東島,01:03:44:08,01:03:58:08,それいいですね。気になっていたのは本を読んだ時に、例えばギュリックが見た、こう思った色と、今の日本人の我々が見て思う色って、虹の色が何色あるかに違うみたいなので、結構難しいなと思っていた。
東島,01:04:09:00,01:04:10:22,なるほど
東島,01:04:40:18,01:04:43:17,そうですね鳥とか捕食者とか
東島,01:05:00:22,01:05:02:15,多くの鳥は
東島,01:06:47:00,01:06:50:05,本当に視野を広くですねそうすると
東島,01:06:53:00,01:06:54:22,あ、戻ってきた
東島,01:07:03:23,01:07:08:22,やっぱりおかしいなと思うじゃないですかねおかしいと思うんですかはいなんでないんだろうなって思うんじゃないですか
東島,01:07:13:13,01:07:31:05,きっと ただ そうですね チンパンジーは後ろから見ると性皮がめちゃくちゃ盛り上がって見えるんであれは多分 人間よりお尻見てると思いますこのメスは交尾できるかどうかっていうのが性皮の主張 腫れ具合で分かるんで多分 そうですねゴリラとかだったら人間見てもないなと思うぐらいか
東島,01:07:32:15,01:07:37:17,人間は意外とお尻を見ていて尻尾あるなしで人か人じゃないかを判断している気がします
東島,01:07:40:15,01:07:52:18,なんかそんな気はしますなんかこうつけた時のあまりにも人に尻尾をつけるっていう表現が多すぎるんで自分と違うっていう表現としてやりすぎっていうかよく使うなっていう
東島,01:07:54:20,01:07:56:12,を生やした人がいるみたいな
東島,01:08:18:18,01:08:35:04,振らないなとは思ってるんじゃないですかねただあんまなんか人間とは顔でコミュニケーションしてるんだと思いますなんかっていうのは私もよくわかんないんですけど昔動物心理の先生にお話を聞いた時にたまに犬で断尾してる子がいるじゃないですかコーギーみたいなでああいうの
東島,01:08:35:04,01:08:51:15,人とのコミュニケーションは顔と顔でやるから何も問題なく一層通りできるんですけど犬同士でコミュニケーションした時に尻尾がある犬がない犬を見た時にあれ何考えてるのかなこいつってなるらしいっていう話を聞きました犬犬コミュニケーションの時にはちょっと難が出る時がある
東島,01:08:59:15,01:09:08:12,ただ対人犬コミュニケーションでは問題にならないもしかしたら犬が人とコミュニケーションを取るときはお尻じゃなくて顔を見ているのかもしれない
東島,01:09:11:23,01:09:17:00,変な生き物だなと変な犬だなって思ってるのかもしれないですね
東島,01:09:19:07,01:09:21:07,でも群れの一員だと思っててほしいんですけど
東島,01:09:22:10,01:09:24:15,変わったメンバーなのかもしれないです 群れの
東島,01:09:26:15,01:09:29:10,でかい変な犬でかくで変な犬
東島,01:10:04:12,01:10:06:15,文化人類先で自然人類が後です
東島,01:10:20:20,01:10:34:10,いやーどっちでもいいと思いますね順番もどっちでもいいし正直何が先でもいいとは思うんですけど視野が広い学部の時はとりあえずいろんなことをやってほしいなと
東島,01:10:35:20,01:10:38:12,僕の専門はこれだからとか決めずに
東島,01:10:40:03,01:10:54:24,なんかたまにいるじゃないですか 若い人とかでも話してると高校の例えば生物部でこれを研究してたから僕の専門はこれで これを深めたくて大学に来ましたとかたまにいるんですよそれはそれで立派だと思うんですけどそれはそれでいいのかも
東島,01:10:54:24,01:11:09:21,先生の千葉さんの本にもあったみたいにやっぱり特定のプロフェッショナルが有利になってあれもこれもってやると中途半端に不利になるって書いてあってあれ身につまされるなと思って読んでたんですけど
東島,01:11:09:21,01:11:24:18,たまにそういうことを言うあれなんですけど自分は気をつけなきゃなと思いながら読んだんですけど一つに突き抜けるっていうのはいいことかもしれないんですけど若いうちはできるだけ視野広い方が楽しいないろんなことを分かる方が
東島,01:11:34:12,01:11:37:20,興味を幅広く持てる方が楽しい
東島,01:12:40:18,01:12:46:05,そうだね、多分それが普通なんですよ
東島,01:12:49:23,01:12:56:23,森井さんが言ってました、千葉さん最近本を書くスピードがすごい速すぎて追いつけないって、弟子が誰も追いつけないとか。
東島,01:13:00:15,01:13:03:00,すごい
東島,01:13:05:07,01:13:09:10,私だってものはスズメの涙ほどしかありません
東島,01:15:57:23,01:15:59:17,うーん
東島,01:16:01:05,01:16:15:05,結果的にたまたまそうなっているとは思いますけど多分なんかその進化っていう言葉が一人歩きしすぎていてその人の社会の中で本来の意味でのただ変化するとか変化した
東島,01:16:15:05,01:16:29:05,歴史のことを進化と呼ぶはずなのにそれに方向性があるかのように語ったりとかそれに優劣というか古い新しいに優と列をつけるみたいなそういう風潮があるから良くないという話だと思います
東島,01:17:26:05,01:17:27:17,そうですそうですそうでしょ
東島,01:17:47:00,01:17:48:20,それはそうですね
東島,01:18:04:08,01:18:08:18,まあそうですねそういった手がそうだから確かにやむを得ないと思うんですよそうですね
東島,01:18:56:00,01:18:58:05,ああ、そうですね。それはダメです。
東島,01:19:39:03,01:19:42:03,そうですね、確かに。
東島,01:20:02:12,01:20:04:18,ああ、そうですね。
東島,01:20:36:12,01:20:40:03,そうですね。
東島,01:21:00:15,01:21:11:06,自然人類の方ですか?でも自然人類の方も結局やっぱり最初のスタートが人種というところからスタートはしている学問なのですが
東島,01:21:11:06,01:21:21:23,おっしゃるようにやっぱり方向性とか自分が後ろを振り返っているという前提でやっているのでどうしても拭いきれないんですかね
東島,01:21:58:00,01:22:06:03,バリエーションとグラデーションが違うんですけど割とそこがごっちゃになる時があるのでなんて言いますかね
東島,01:22:07:05,01:22:11:03,ランク付けをするようなもんではないんですよね
東島,01:22:45:20,01:22:48:20,気をつけないとなと思っていますいけます?
東島,01:24:10:20,01:24:12:12,はいはいなんか探します
東島,01:24:14:10,01:24:16:00,[HALLUCINATION_FILTERED]
東島,01:24:29:15,01:24:42:08,うーんまあなんでしょうね全体的につまんなくなりそうな気がするんですよねつまんなくなりそうこうまあなんですかねまあまあコロナの影響もあったのかも
東島,01:24:42:08,01:24:55:00,だんだんみんな小さくまとまって冒険をしなくなってだんだん安牌をとるというかそれぞれの対立も深くなっていくのでなかなかつまらない世の中になるなっていうのは
東島,01:24:57:20,01:24:59:23,そうですね、なんか当初効果じゃないです。
東島,01:25:47:05,01:25:49:13,外来所ですか?
東島,01:26:03:20,01:26:05:13,あれはスズメです
東島,01:28:33:18,01:28:48:14,難しいですね。そもそも変えられるのかというところは疑問ではありますね。結局、例えば一部の人間が変えたところで、結局また誰かが繰り返してしまって、歴史がどんどん繰り返されていったみたいに、一つの地域がそれを…
東島,01:28:48:14,01:29:03:10,でもその時それをやらなかった地域が次また同じことをするっていう感じで結局連鎖的に同じことがあちこちで起きていくんじゃないかなというふうには思いますけど最終的にはあんまりこの種は存続できないんじゃないかなというふうには正直思います
東島,01:29:05:05,01:29:19:04,文化人類学的にもどんどん文化というものが画一化されてきて多様性がそれこそ失われていくのではないかなと思います環境への威風とか恐怖とか人間ではどうしようもないというものがあった頃こそ生まれた
東島,01:29:19:04,01:29:33:03,表現っていうのがたくさんあったんですけどそれが全部コントロールできるようになるとただ全部可愛いとか全部その管理できるものに収まってきちゃうのでそういう多様性もなくなってくるでしょうしネットワークが広まっていくこと
東島,01:29:33:03,01:29:47:03,そういうのがまた広まっていくそこから生まれてくるものもあるんでしょうけどなんかこう一旦割と画一化しちゃうのかなってそれに満足できない人がまた何か作っていったらまた変わるのかもしれないです
東島,01:30:01:20,01:30:03:10,なるかなー
東島,01:30:21:10,01:30:32:18,そうですね噴水がすごいポピュラーになってくるとまたそれに満足できない人が自然ってどうだったのかってまたその古文書その当時の古文書とか写真を振り返ると昔は山があったらしいと
東島,01:30:32:18,01:30:44:00,川があったらしいと言ってまた人工的に山とか川を作ってまたそれに満足できなくなった人がまた噴水を作ってという感じで結局同じようなものが何パターンか繰り返されるような気はしなくも
東島,01:33:39:05,01:33:41:10,ああ、わかりました。
東島,01:34:05:05,01:34:13:03,あっはい 東北って解剖医学部解剖に昔人類があったと思うんですけどもうまだ居はるんです
東島,01:34:19:20,01:34:21:20,ああ、メアンデルタル
東島,01:34:24:02,01:34:29:00,そっちの人なんですよじゃあ東大系の人ですかね
東島,01:34:32:15,01:34:34:10,あっそうなんですか
東島,01:35:25:07,01:35:38:00,そうなんですか。私、実は今年から文化進化をちょうどやろうとして、尻尾の文化的な表現を集めてきて、どこから来たのかとかやりたいなと思って、研究費が取れたので、やろうと。
東島,01:35:39:10,01:35:47:15,とりあえず今集めてるんですけど私実はお恥ずかしながら系統樹書いたことがなくてだって書こうかな形質をコード化していくところからやろうと
東島,01:35:49:05,01:35:52:15,それこそ先生にご相談しなあかんかもしれませんどうやってこれ系統順にしたらいいですか
東島,01:36:18:22,01:36:21:03,ああ、はい、縄目ですかね。面白…
東島,01:37:05:15,01:37:08:02,この椅子めちゃ座りにくかったですよね大丈夫でした
東島,01:37:09:05,01:37:11:13,いやなんか申し訳ないなと思って途中で椅子
東島,01:37:38:02,01:37:44:12,小笠原って行ったことないんですけどあれは東京の不当から出るんですか伊豆大島とかに行く
東島,01:37:47:00,01:37:48:20,小笠原丸
東島,01:37:56:00,01:37:57:13,伊豆大島までしか行ったことがない
東島,01:38:12:02,01:38:15:13,あなんか寄生虫がいるやつです農業害虫です
東島,01:38:19:00,01:38:23:05,アフリカマイマイは今世界あちこちにいると思うんですけどあれは誰か持ち出したんですか
東島,01:39:01:20,01:39:06:02,あれは多分M1でほぼ初海外で置いてかれたせいだと思うんですけど
東島,01:39:13:18,01:39:24:08,そうなんですよ。言葉が基本で。ナイロビは英語がいけるんですけど、ナイロビを出たらスワヒリ語じゃないとダメで、スワヒリ語も通じなくなるんですよ。現地語じゃないとダメ。
東島,01:39:26:02,01:39:28:20,でも大丈夫です。言っていることは何パターンか。
東島,01:39:30:08,01:39:35:05,肉を焼くかとかお給料を前借りしたいとか大体そんなことしか言ってない
東島,01:39:59:05,01:40:05:05,なんかお堀屋あったじゃないですかここ来るまでに私こっちから来て川?なんか橋渡ったんですけどああいうとこでもいいかもしれない
東島,01:40:09:20,01:40:12:05,来てたらこっち出そうですけどねめっちゃ
東島,01:40:24:15,01:40:30:12,本に載ってたギュリックの集めたカタツムリの殻みたいなあれボーンってあんなたくさん箱か何かに入ってるんですか
東島,01:40:40:18,01:40:45:15,すごい量写真で出てたんですごいなと思う
東島,01:40:54:00,01:40:56:00,あんなきゃあったら測りたくなりますよね
東島,01:41:02:18,01:41:06:10,そうなんです。形あるものを見るとなんか測りたくなっちゃう。
東島,01:41:10:00,01:41:11:15,変な人多いですね
東島,01:41:14:05,01:41:15:18,おー、確かに
東島,01:41:19:18,01:41:24:15,そうですねホソさんもそうだったそうですホソさんも
東島,01:41:26:18,01:41:31:05,そうですね、ちょっとそうですねとか出すけど、ちょっとおかしいです。
東島,01:41:33:13,01:41:35:23,森井さんが千葉さんによろしくって言ってました
東島,01:41:38:22,01:41:49:05,メールをちょうどやり取りしてて歌う方つもりに出てきたので森井さんの名前が線引いて書いてあるよって送ったらうちの師匠なんですとか
東島,01:41:51:00,01:41:56:20,でなんかメールして今度ラジオでご一緒するよって言ったらなんかなんでとかってメールが来てました
東島,01:42:12:18,01:42:15:05,ああそうですよねニュージーランドがなんか
東島,01:42:19:23,01:42:26:05,ハクビの時に誰かについてアフリカに行ってました
東島,01:43:04:15,01:43:07:05,違わない大学教員は通れないです
東島,01:43:11:15,01:43:17:23,全然関東がわからなくてほぼ関西から出たことがなかったんで
東島,01:43:20:00,01:43:21:23,江戸の知識は全部時代劇から今
東島,01:43:23:07,01:43:25:13,池波翔太郎由来です
東島,01:43:32:15,01:43:35:23,八丁堀っていう地面を見たときびっくりしましたあるんだ本当に
